lid,name,usgs_site,event_start_threshold_ft,event_threshold_ft,min_crest_stage_ft,action_stage_ft,minor_stage_ft,flood_stage_ft,moderate_stage_ft,major_stage_ft,notes
DARL1,Amite River at Darlington,07377000,,,,,,,,,
MAGL1,Amite River at Magnolia,07377300,,,,,,,,,
DENL1,Amite River at Denham Springs,07378500,,,,,,,,,
BYML1,Amite River at Bayou Manchac,,,,,,,,,,
PVLL1,Amite River at Port Vincent,07380120,,,,,,,,,
OLVL1,Comite River at Olive Branch,07377500,,,,,,,,,
CMTL1,Comite River at Joor Road,07378000,,,,,,,,,
LPOL1,Tickfaw River at Liverpool,07375800,,,,,,,,,
MONL1,Tickfaw River at Montpelier,07375960,,,,,,,,,
HOLL1,Tickfaw River at Holden,07376000,,,,,,,,,
NRBL1,Natalbany River at Baptist,07376500,,,,,,,,,
OSYM6,Tangipahoa River at Osyka,07375280,,,,,,,,,
KENL1,Tangipahoa River at Kentwood,07375300,,,,,,,,,
AMIL1,Tangipahoa River at Amite,07375430,,,,,,,,,
ROBL1,Tangipahoa River at Robert,07375500,,,,,,,,,
FLSL1,Tchefuncte River near Folsom,07375000,,,,,,,,,
CUSL1,Tchefuncte River near Covington / Hwy 190,07375050,,,,,,,,,
CGSL1,Bogue Falaya River at Camp Covington,07375105,,,,,,,,,
CVEL1,Bogue Falaya River at Boston Street Covington,07375175,,,,,,,,,
TYTM6,Bogue Chitto River at Tylertown,02490500,,,,,,,,,
FRNL1,Bogue Chitto River at Franklinton,02491500,,,,,,,,,
BSHL1,Bogue Chitto River at Bush,02492000,,,,,,,,,
MNLM6,West Hobolochitto Creek near McNeil,02492360,,,,,,,,,
CREM6,East Hobolochitto Creek near Caesar,02492343,,,,,,,,,
KLNM6,Jourdan River at Kiln / Bay St. Louis,02481660,,,,,,,,,
GLFM6,Wolf River near Gulfport,02481521,,,,,,,,,
LYMM6,Biloxi River near Lyman,02481130,,,,,,,,,
DIBM6,Tchoutacabouffa River near D’Iberville,02480590,,,,,,,,,
PGFM6,Pascagoula River at Graham Ferry,02479310,,,,,,,,,
ORAM6,Escatawpa River near Orange Grove,0248018020,,,,,,,,,
